"","lon","lat","O3","HCHO","NO2"
"1",116.366,39.8673,162.193548387097,26143337217179676,15166257479929404
"2",116.17,40.2865,168.193548387097,22642607749961396,9086435814301952
"3",116.434,39.9522,180.548387096774,25476432730564276,14227618235569484
"4",116.434,39.8745,180.838709677419,24056409357522880,14451222022377976
"5",116.473,39.9716,183.516129032258,25476432730564276,14227618235569484
"6",116.361,39.9425,187.193548387097,25155200108052240,15241809346751132
"7",116.315,39.9934,166.516129032258,25155200108052240,15241809346751132
"8",116.72,40.1438,176.935483870968,22860820372800188,9427545228115358
"9",116.644,40.3937,164.677419354839,22774848845115564,8006791407214400
"10",116.23,40.1952,172.096774193548,25304502233304304,13835206728302620
"11",116.407,40.0031,182.451612903226,26937684403629884,15118846750637318
"12",116.225,39.9279,162.290322580645,24878163487006512,14576251103487970
"13",117.145,39.1654,197.645161290323,24732404729815184,12365142546806354
"14",117.237,39.1082,188.193548387097,22989805428608412,13547772664830020
"15",117.202,39.0927,198.709677419355,22154722881089920,12662816924524572
"16",117.1837,39.2133,197.290322580645,22437329222328348,11689215467449858
"17",117.307,39.0877,189.548387096774,21925358293793260,12495760686036626
"18",117.707,39.0343,167.838709677419,18013363669354452,16076625834486510
"19",117.457,38.8394,185.935483870968,19388881975182692,10374526037288750
"20",117.764,39.1587,176.774193548387,18345674070853964,11521096883822732
"21",117.157,38.9194,171.709677419355,21433800271116908,9094917255896146
"22",114.4548,38.0513,194.838709677419,22202759083851516,15908601352747774
"23",114.6046,38.0398,198.58064516129,20894857938720064,11235645218971668
"24",114.5019,38.1398,207.967741935484,22526517406471608,12930342855476818
"25",114.4586111,38.00583333,190.354838709677,22202759083851516,15908601352747774
"26",114.5330556,38.01777778,184.064516129032,21987280959121364,14625882860725208
"27",114.5214,38.0524,211.741935483871,21987280959121364,14625882860725208
"28",114.3541,37.9097,217.41935483871,22566097463889884,10507467841093890
"29",118.1662,39.6308,175.322580645161,21729498238255888,13492310509033926
"30",118.144,39.643,168.129032258065,21729498238255888,13492310509033926
"31",118.1853,39.6407,156.096774193548,21729498238255888,13492310509033926
"32",118.2185,39.6679,154.903225806452,22933975914125476,16443095882895708
"33",118.1838,39.65782,163.354838709677,21729498238255888,13492310509033926
"34",118.1997,39.6295,174.58064516129,21729498238255888,13492310509033926
"35",119.5259,39.8283,177.774193548387,16902281103046524,10260175437761708
"36",119.7624,40.0181,148.032258064516,19161004519228512,9565685159886802
"37",119.6023,39.9567,158.806451612903,17576070468717530,12382746878514184
"38",119.5369,39.9419,152.774193548387,17819338097953086,11508983067299164
"39",114.5129,36.61763,175.225806451613,20483782105677900,8289385668874283
"40",114.5426,36.6164,184.677419354839,20483782105677900,8289385668874283
"41",114.5035,36.5776,203.096774193548,19149515631457460,7185259057781038
"42",114.4965,36.61981,188.322580645161,20172236787844100,11659944503528456
"43",115.493,38.8632,189.354838709677,20384644192416672,10337700905479012
